"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu1g11110" 1350 1169 1138 2468 3005 3059 1763 1901 1431 1372 961 1247
"Afu3g05490" 748 684 641 976 797 1015 1092 1036 753 821 985 689
"Afu4g07310" 382 334 298 291 293 329 417 411 312 518 375 530
"Afu2g11450" 656 608 530 492 397 516 652 644 485 230 549 361
"Afu6g08520" 2375 1895 1888 1629 2269 2336 2348 2205 1743 2666 2001 2341
"Afu4g00990" 62 74 56 655 560 684 110 113 88 64 110 74
"Afu3g08820" 1222 1003 1032 1203 1113 1146 1808 1465 1235 1575 699 1300
"Afu2g03280" 1225 1217 1049 1471 1799 1807 1666 1302 1117 3473 3508 3090
"Afu4g06930" 1549 1404 1319 2225 2236 2303 2103 1878 1567 4081 11806 3610
"Afu7g02300" 175 149 126 189 186 188 251 239 160 202 169 186
"Afu8tH(GUG)4" 0 1 0 0 1 0 0 1 0 0 0 0
"Afu2tA(UGC)1" 0 0 1 0 0 0 1 0 0 0 0 0
"Afu1g06000" 522 201 187 79 107 73 134 167 128 94 130 79
"Afu6g11880" 60 40 39 12 19 12 42 61 35 17 15 10
"Afu5g13100" 440 425 396 355 449 422 494 477 395 4389 2615 4394
"Afu3g14450" 43 38 41 47 37 39 46 40 23 22 14 15
"Afu6g09600" 575 937 790 22 37 29 1650 821 879 5 4 5
"Afu4g00260" 71 66 82 138 155 179 46 39 36 82 77 88
"Afu1g07560" 52 54 52 105 120 112 63 74 59 36 12 20
"Afu5g09720" 577 344 342 373 373 433 1145 569 494 92 203 72
"Afu8g04110" 1494 615 570 786 1133 859 485 459 413 639 138 549
"Afu1g01410" 452 320 319 214 241 249 348 254 266 142 666 118
"Afu6g10140" 229 226 181 348 363 371 290 294 181 425 235 423
"Afu8g07090" 1931 900 1053 2719 2637 2781 599 947 662 1387 2118 1135
"Afu2g04420" 44 32 29 15 25 17 28 20 29 6 9 5
"Afu7g04560" 80 80 95 150 174 164 132 69 53 119 55 147
"Afu4g09970" 316 256 239 162 165 186 372 296 205 57 139 49
"Afu5g09370" 148 109 95 201 179 191 212 155 124 401 125 386
"Afu1g12530" 4190 3362 3208 4203 5579 5277 4471 4629 3398 1508 490 1108
"Afu7g06080" 518 418 427 3071 2859 3435 403 355 303 11902 9803 10996
"Afu7g06935" 0 0 0 0 1 0 0 0 0 1 0 0
"Afu1g10410" 786 643 591 864 896 1116 1070 1302 1047 2329 2387 2307
"Afu1g16720" 401 356 325 415 434 465 705 496 430 642 263 579
"Afu1g01570" 49 32 37 80 54 70 75 44 30 249 144 204
"Afu6g03630" 84 77 65 22 13 16 124 61 72 13 14 24
"Afu5g04430" 767 693 703 591 637 662 876 863 739 664 379 703
"Afu4g07940" 62 54 73 92 91 93 124 85 94 43 4 23
"Afu2g06270" 134 133 105 219 194 228 208 174 126 96 73 77
"Afu5g14290" 207 130 167 3029 4193 4112 639 430 256 593 79 467
"Afu3g00960" 1046 955 998 235 239 345 759 785 1016 1664 2956 1794
"Afu5g09050" 58 46 43 107 102 105 124 81 53 47 16 44
"Afu3g03690" 11 5 3 42 53 48 8 5 4 20 31 15
"Afu2g02760" 2377 1930 2333 5763 6998 7817 4023 3122 2648 1319 3515 1212
"Afu2g14620" 1268 1130 1204 1996 1905 2114 1251 1695 1269 3054 2855 2848
"Afu8g03900" 1008 850 836 2037 2010 2354 1593 1201 984 1196 457 1068
"Afu3g10230" 166 196 145 205 198 184 337 215 169 233 102 207
"Afu6g02270" 383 355 383 462 535 517 382 385 352 734 554 711
"Afu1g07590" 697 569 499 998 1128 1124 1084 982 697 1621 1008 1624
"Afu3g08040" 401 329 262 338 319 374 621 413 351 351 193 394
"Afu6g06890" 1127 1038 941 777 724 789 1413 1294 1078 308 191 285
"Afu2g17490" 54 49 59 29 31 18 84 86 55 19 53 13
"Afu3g06050" 341 284 247 278 268 326 449 342 299 374 135 293
"Afu6g02030" 630 417 436 803 792 834 428 460 371 230 39 162
"Afu7g00210" 741 617 579 1675 1705 1878 613 615 466 2353 2644 2335
"Afu1g16505" 28 32 33 118 114 175 66 48 39 26 35 34
"Afu2g11190" 539 401 409 296 372 382 466 440 347 487 243 496
"Afu4g03490" 4377 3136 2938 1124 1289 1165 2523 2825 2077 370 159 391
"Afu3g00310" 598 453 442 921 986 1026 454 513 373 269 129 241
"Afu1g07710" 348 352 260 639 641 746 635 486 394 405 354 282
"Afu2g14850" 153 308 283 130 112 111 513 333 244 71 33 57
"Afu3g11550" 847 799 673 275 291 311 861 797 611 2158 1145 2241
"Afu6g02800" 6559 4908 4921 1188 2691 1662 4354 6177 4071 155 37 131
"Afu2g08720" 120 93 76 125 91 105 155 134 90 110 37 90
"Afu4g08040" 2574 2028 1977 3068 3258 3505 3122 2517 2059 5079 2923 5284
"Afu4g11400" 336 260 279 203 223 217 458 316 236 126 19 98
"Afu2g00670" 59 72 45 26 28 32 60 60 35 32 92 30
"Afu1g00700" 117 131 107 233 243 234 242 223 177 244 302 261
"Afu3g13360" 104 84 72 59 105 83 122 114 91 37 17 32
"Afu3g08830" 739 608 607 493 471 426 814 742 632 668 301 541
"Afu2g10170" 867 790 714 686 754 754 926 805 689 1993 998 2017
"Afu3g13550" 63 70 46 49 49 58 103 50 56 19 6 24
"Afu5g10210" 58 43 40 13 14 11 100 350 182 66 73 61
"Afu2g15750" 541 494 395 719 728 696 1070 758 580 699 255 597
"Afu1g10370" 2138 1212 1134 476 758 621 1102 1239 909 2754 7122 1984
"Afu6g10770" 391 339 334 489 408 398 610 520 443 506 140 483
"Afu8g01090" 679 567 612 1215 1391 1391 1376 846 682 457 30 353
"Afu2g11630" 22 22 9 7 18 13 52 21 22 9 4 2
"Afu5g11390" 2444 1893 1784 2134 2247 2357 2345 2159 1873 1326 735 1280
"Afu6g02340" 112 128 88 234 230 217 166 149 135 109 105 96
"Afu3g07680" 675 650 583 473 515 542 948 741 630 324 298 350
"Afu2g15150" 12 11 8 16 23 16 23 22 12 7 8 5
"Afu5g13800" 154 163 134 15 13 17 375 353 266 9 10 11
"Afu4g08870" 24 26 30 6 5 2 126 28 43 2 4 4
"Afu1g13470" 2700 2478 2360 2682 3039 3373 2580 2660 2201 2734 1554 2913
"Afu8g06400" 398 319 290 734 560 629 797 583 403 1299 1027 1087
"Afu2g01380" 52 54 24 186 128 169 67 53 49 440 1193 308
"Afu1g05670" 98 71 86 93 65 72 179 125 105 55 62 42
"Afu3g00650" 2000 1243 1104 661 1039 740 2575 2342 1701 126 502 103
"Afu4g02790" 474 373 399 672 641 773 528 626 518 516 660 546
"Afu5g14260" 21 16 20 48 59 48 42 38 22 95 85 71
"Afu8g06760" 81 53 102 638 561 564 128 230 131 78 103 70
"Afu4g09870" 8701 6897 6924 3365 4173 3878 7068 6521 5156 3039 2234 2905
"Afu4g14470" 0 1 0 3 3 0 1 1 0 8 28 0
"Afu7g02325" 5 9 6 9 7 9 7 8 6 15 24 15
"Afu4g12420" 1 3 2 3 3 2 3 1 3 3 1 4
"Afu1g05735" 4 4 5 4 5 5 9 8 9 2 0 14
"Afu5g02330" 15433 13253 13309 3633 4176 4176 13958 15744 11878 682 919 668
"Afu1g03450" 506 409 378 845 822 860 822 565 462 554 266 522
"Afu5g02460" 302 252 216 390 378 398 268 210 195 146 202 146
"Afu2g08400" 90 91 63 83 108 111 190 113 101 122 43 107
"Afu1g05840" 4829 3134 2991 601 831 719 1658 1538 1520 2171 2887 2143
"Afu1g13030" 45 52 34 80 64 77 64 34 19 29 19 18
"Afu8tV(AAC)7" 3 1 4 1 2 5 4 0 0 1 8 5
"Afu3g10540" 343 363 298 323 291 350 312 249 233 286 99 284
"Afu8g05090" 54 44 34 133 114 131 132 71 61 29 3 20
"Afu4g01115" 2 1 1 2 2 0 0 1 0 3 8 5
"Afu7g04880" 376 359 385 1103 1182 1265 450 648 468 2025 1262 2063
"Afu4g02940" 1181 892 897 539 657 649 875 955 760 1201 1560 1214
"Afu1g09630" 3318 2708 2658 3305 4150 4136 3529 3210 2573 3275 1592 3103
"Afu2g14300" 60 59 70 42 35 35 57 38 39 101 40 116
"Afu1g06340" 10040 9294 8908 4791 5047 5505 10344 11038 8820 1623 620 1289
"Afu5g14600" 51 61 46 6 7 8 68 28 39 6 10 7
"Afu4g10520" 188 158 129 272 293 358 207 187 182 504 476 476
"Afu6g11590" 31 37 36 22 25 17 52 37 35 32 7 39
"Afu6g08900" 525 541 468 437 446 560 554 547 419 185 164 139
"Afu6g07060" 369 299 263 546 518 602 353 350 286 185 104 197
"Afu4g14705" 7 4 1 0 1 0 0 0 1 0 0 0
"Afu2g12590" 488 390 366 557 485 467 626 479 347 892 520 766
"Afu8g05720" 887 591 530 590 635 605 1394 1007 886 165 45 145
"Afu5g02640" 194 392 513 96 75 102 2356 4717 3230 12 3 7
"Afu1g01240" 118 98 109 204 197 220 178 126 110 56 39 45
"Afu2g12800" 14 14 11 22 24 19 16 9 12 8 9 6
"Afu1g12310" 211 191 172 481 458 501 341 293 183 421 117 410
"Afu7g01680" 303 254 247 592 648 642 378 266 234 611 291 575
"Afu4g04612" 1187 1029 977 1362 1453 1603 1442 1095 954 1963 1675 2196
"Afu8g05110" 142 109 119 203 184 199 214 173 142 96 54 84
"Afu8g04040" 1287 1006 954 1107 1236 1241 1525 1253 1064 295 240 256
"Afu1g13380" 260 209 194 451 385 381 451 325 291 132 51 116
"Afu6g03100" 1226 1014 910 1474 1346 1421 1569 1437 1216 2188 953 2056
"Afu8g01140" 184 111 145 246 287 292 182 127 132 24 2 19
"Afu6g13680" 635 461 425 422 440 474 520 398 365 273 123 254
"Afu5g12000" 346 297 260 100 100 154 283 311 254 45 23 37
"Afu5g07060" 420 393 363 381 372 391 594 458 345 572 638 588
"AfuMt00070" 1 1 2 5 0 3 2 1 0 4 2 6
"Afu3g09930" 605 537 519 703 665 652 783 674 573 3761 2345 3116
"Afu1g17390" 264 192 190 118 132 134 135 116 84 44 23 30
"Afu8g07130" 2262 1907 1795 1396 1420 1482 1787 1964 1703 1063 481 1083
"Afu1g16440" 28 22 35 1897 1456 1952 56 200 117 1685 357 1927
"Afu6g13560" 39 33 38 72 66 63 95 47 40 18 22 21
"Afu5g03490" 13378 11065 10421 8165 8846 9308 13279 10555 10064 908 388 766
"Afu2g14140" 545 458 359 18 25 21 96 96 95 887 4509 1236
"Afu2g06100" 3645 3171 3288 6992 8550 9395 5228 4575 3742 2532 2449 2258
"Afu2g00110" 19 10 13 41 51 39 19 15 15 8 1 3
"Afu8g02110" 25 36 38 46 45 57 54 73 39 18 36 22
"Afu3g06870" 1010 886 752 1035 1096 1151 1295 1004 774 1923 1322 1764
"Afu2g12430" 1117 899 859 1248 1195 1306 1179 1049 762 992 690 925
"Afu2g07660" 281 299 292 486 473 513 405 380 270 594 359 613
"Afu5g00910" 19 75 139 547 599 872 433 1833 1134 861 5916 979
"Afu4g07200" 764 632 563 981 1148 1047 1434 980 703 1309 760 1108
"Afu3g00510" 21 29 17 10 10 14 51 32 30 31 37 29
"Afu6g04430" 1059 901 791 618 607 622 1214 939 850 498 132 456
"Afu5g01620" 10 9 6 8 14 20 43 23 24 209 471 168
"Afu8g05420" 28 33 25 289 220 396 59 38 30 310 254 375
"Afu3g14950" 32 20 31 4 10 6 44 11 21 122 294 113
"Afu5g05970" 458 421 396 787 754 865 813 637 567 999 440 904
"Afu6g10430" 7 3 8 15 11 18 9 7 5 14 3 10
"Afu4g06030" 2710 2211 2285 3021 3739 3834 2755 2785 2205 1312 805 1159
"Afu5g07880" 319 271 242 313 315 398 686 346 340 141 44 149
"Afu3g14860" 11 8 10 40 19 29 13 6 5 12 4 6
"Afu2g13950" 44 24 27 31 35 30 27 24 20 8 8 10
"Afu2g10180" 12 17 6 21 19 20 41 25 26 1 1 3
"Afu2g01000" 265 270 254 262 266 282 310 256 208 38 30 32
"Afu1g03660" 2060 2144 2293 1915 2182 2409 1299 1624 1171 199 190 180
"Afu5g00440" 0 0 1 0 0 1 0 0 0 0 0 0
"Afu1g11650" 36 30 23 45 51 52 71 31 29 12 8 13
"Afu3g00110" 0 2 0 0 4 3 3 5 7 5 8 0
"Afu2g02330" 58 54 52 37 44 42 60 67 78 15 13 14
"Afu3g01820" 158 63 82 23 41 39 70 79 59 7 6 5
"Afu3tR(CCG)1" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g09040" 1127 827 848 1121 1291 1203 1450 1141 893 1227 1117 1085
"Afu5g08310" 2319 1933 1807 1579 1781 1941 2066 1895 1706 2687 1743 2846
"Afu5g02580" 452 443 354 449 486 504 594 503 468 987 797 899
"Afu3g12620" 777 420 438 1051 1029 1160 619 710 546 824 347 785
"Afu2g11310" 246 191 185 364 313 410 326 264 189 793 765 572
"Afu5g13490" 870 870 757 736 707 769 1252 1080 789 537 370 481
"Afu6g10060" 1537 1275 1226 1559 1434 1585 1518 1371 1288 1090 261 1027
"Afu3g03140" 436 254 265 461 510 556 519 563 447 203 515 167
"Afu4g00120" 7 9 5 23 26 24 4 5 7 4 2 3
"Afu6g12430" 557 459 372 563 491 502 842 575 489 2309 1947 2553
"Afu2g17210" 52 48 39 46 34 51 76 72 50 45 45 59
"Afu1g06120" 5 9 6 22 21 12 8 8 9 79 77 77
"Afu4g08530" 908 714 672 943 1027 1075 1079 880 753 1087 658 973
"Afu2g16160" 1282 1058 965 1889 2219 2283 1318 1386 986 1727 682 1716
"Afu4g01500" 8 6 9 3 3 2 8 11 18 4 7 3
"Afu4g11800" 2405 1391 1329 381 424 341 759 939 778 250 143 243
"Afu7g05490" 582 418 498 161 174 246 944 742 714 1195 2052 1699
"Afu2g16120" 1543 1271 1121 1657 1731 1711 1654 1324 1045 611 388 605
"Afu4g11690" 829 697 602 618 613 674 852 789 609 1032 965 956
"Afu5g08880" 5 6 5 5 4 3 5 7 2 0 1 0
"Afu4g09360" 53462 42377 42419 35806 40326 48860 36079 43256 34278 5141 7070 4959
"Afu6g10560" 497 413 404 441 403 411 693 590 477 802 448 734
"Afu5g08750" 1278 840 934 1140 1392 1274 1220 1254 919 2298 3658 2481
"Afu1g07270" 511 537 401 738 747 910 705 694 545 151 72 184
"Afu4g11590" 380 353 270 337 396 318 434 302 245 504 304 521
"Afu4g10660" 556 511 439 349 328 346 772 600 531 328 268 382
"Afu2g11460" 2270 1795 1834 1475 1711 1986 2220 2032 1682 1096 2654 1110
"Afu3g03295" 3 6 7 2 6 3 44 13 19 1 5 4
"Afu8g01800" 1396 652 640 274 290 289 616 710 592 124 279 143
"Afu5g00580" 16 19 12 21 21 23 12 6 3 4 5 1
"Afu5g11880" 94 79 65 104 118 132 116 69 63 50 28 50
"Afu4g08800" 81 74 59 126 121 109 101 102 82 59 48 34
"Afu8g02220" 1 0 0 0 0 0 1 0 0 0 0 0
"Afu3g14530" 643 380 335 793 772 855 472 551 373 724 1010 904
"Afu4g02750" 179 128 140 306 344 374 202 153 136 65 19 72
"Afu7g08647" 34768 19303 19554 7213 9603 9225 23221 21103 18175 21394 96333 24355
"Afu6g06450" 5151 4113 3834 2108 2098 2366 3215 3450 3019 4652 3508 4999
"Afu4g08470" 433 407 393 785 760 687 752 486 384 925 521 702
"Afu8g06930" 24 32 31 80 50 68 71 71 61 85 52 74
"Afu4g12810" 516 451 426 440 454 557 520 529 438 591 521 657
"Afu5g08265" 0 0 1 1 1 0 2 0 1 0 0 1
"Afu5g03030" 535 418 426 966 1136 1060 589 543 388 255 85 185
"Afu2g01260" 5019 3834 4268 7866 8455 9567 4334 4508 3389 5878 6769 5998
"Afu7g00120" 2 2 2 3 6 1 2 29 4 0 2 1
"Afu5g02340" 28 20 13 39 45 25 35 26 19 8 3 8
"Afu3g07330" 93 94 70 151 144 146 179 78 82 115 34 101
"Afu2g15660" 1635 1152 1058 1243 1286 1238 1080 997 834 1838 900 1927
"Afu5g03410" 218 209 172 167 129 151 303 245 209 330 211 356
"Afu6g12530" 1505 1450 1305 1891 1864 2275 2160 1818 1614 1489 711 1241
"Afu4g13200" 2404 1834 1841 2444 3134 3037 2596 2874 2189 3485 1891 3122
"Afu3g05370" 7630 6950 6933 6992 6891 7971 8217 8670 7120 5036 4695 5276
"Afu5g05830" 4267 3299 3269 6742 7035 8190 3531 3713 3149 4949 4517 5316
"Afu3g11940" 642 460 404 723 816 701 761 666 475 1648 1097 1418
"Afu8g06280" 1 2 0 1 1 4 2 0 1 0 1 0
"Afu5g06030" 745 547 409 230 223 277 557 313 408 56 78 63
"Afu6g02490" 502 443 360 2165 2004 2502 573 518 360 3138 2411 2881
"Afu3g05380" 803 659 627 1066 983 1105 1207 940 777 1323 2434 1297
"Afu1g09970" 2663 2379 2218 1634 1620 1937 2605 2590 2306 931 467 904
"Afu3g14840" 39 28 26 63 72 55 52 41 29 22 9 26
"Afu4g11930" 357 292 259 616 540 617 689 698 564 823 436 723
"Afu4g05890" 264 227 232 225 232 252 262 285 222 80 41 59
"Afu3g06901" 1093 985 911 1125 1377 1431 1559 1319 1039 1148 493 1209
"Afu1g14990" 741 773 616 578 625 773 739 820 676 227 196 205
"Afu8g01300" 791 1259 1064 280 369 469 892 742 759 49 41 50
"Afu7tP(CGG)2" 0 7 0 0 2 2 4 0 2 0 0 0
"Afu4g11810" 150 204 137 26 32 29 151 153 147 77 46 70
"Afu2g00310" 691 506 485 864 893 914 1026 695 559 1004 510 841
"Afu2g10640" 688 479 471 570 550 619 796 645 533 724 239 649
"Afu6g06330" 561 550 496 583 613 728 910 771 660 386 208 264
"Afu3g10940" 1405 975 852 1214 1292 1538 1049 1002 812 2006 928 2218
"Afu1g09520" 160 160 124 102 73 104 285 138 144 83 26 79
"Afu5g04350" 114 101 89 182 192 225 245 165 125 86 41 73
"Afu4g13830" 1 3 1 7 5 10 6 2 2 1 4 2
"Afu3g00100" 1 1 3 2 1 3 0 1 0 0 2 2
"Afu5g06760" 683 545 501 470 488 501 679 649 496 1045 959 961
"Afu4g06850" 359 395 311 272 314 356 931 663 684 228 583 204
"Afu4g01480" 0 0 1 0 0 1 1 0 2 0 0 0
"Afu7g06050" 1991 1823 1661 4087 4535 4769 1546 1727 1402 12857 21857 12471
"Afu6g11990" 1 1 1 2 1 2 4 2 3 2 1 3
"Afu3g07350" 1469 1183 1099 1158 1449 1398 1586 1072 991 340 204 284
"Afu6g03010" 344 332 271 315 321 398 523 372 335 95 24 64
"Afu6g00300" 2716 2402 2302 4075 4544 4701 3014 2995 2254 4253 9079 4668
"Afu2g17960" 13 35 16 2 0 4 186 5 29 0 0 1
"Afu7g05540" 862 763 769 870 1145 1095 839 806 680 434 166 397
"Afu8g04460" 1366 1316 1225 1270 1359 1404 1744 1540 1264 530 368 475
"Afu5g13080" 850 588 658 436 559 498 1014 1097 760 1522 1506 1362
"Afu1g16600" 257 279 279 115 130 156 531 466 415 49 25 63
"Afu2g13050" 22 42 22 30 34 46 56 43 29 46 23 32
"Afu1g12540" 706 565 594 738 834 875 783 665 569 880 338 756
"Afu3g14210" 2 0 3 10 6 6 1 2 1 1 1 2
"Afu5g05930" 467 449 395 355 335 364 538 499 407 173 163 171
"Afu4g09120" 587 562 493 676 712 776 802 703 537 313 132 292
"Afu3g02980" 106 93 64 133 114 128 146 107 87 90 44 45
"Afu2g03070" 502 526 387 911 783 878 750 652 512 765 811 587
"Afu1g03190" 8 16 9 7 1 2 33 16 11 11 18 5
"Afu2g10650" 124 113 96 137 119 159 150 86 95 121 34 137
"Afu6g11240" 174 164 153 235 192 199 263 203 182 184 71 183
"Afu3g01520" 65 133 104 469 593 707 561 557 725 299 262 365
"Afu2g13410" 426 304 238 418 392 406 501 431 330 131 226 117
"Afu2g11640" 529 411 340 739 779 796 609 572 397 905 568 797
"Afu3g10600" 1571 1333 1418 2546 2327 2522 1706 1675 1231 5160 3039 5338
"Afu2g00790" 962 877 799 380 551 489 597 663 609 2833 6533 2897
"Afu1g17520" 204 149 156 144 123 138 250 189 173 10 4 13
"Afu8g06920" 729 556 499 1196 1371 1279 979 953 693 1727 1266 1584
"Afu6g13550" 14570 13360 12829 6099 6328 6840 13349 14724 11929 2351 934 1961
"Afu1g05220" 838 782 742 600 578 697 793 680 627 1162 708 1316
"Afu1g07100" 1055 924 809 1104 1106 1278 778 740 648 1435 1006 1516
"Afu6g04780" 692 583 516 980 1011 1034 817 703 579 1474 714 1472
"Afu6g04940" 1258 1010 967 1453 1797 1793 1328 1202 961 2115 1661 2012
"Afu4g12440" 2553 1686 1487 1312 1431 1406 1852 1822 1459 4957 14466 4981
"Afu8g04320" 1371 1148 1021 843 931 1005 1456 1424 1182 927 800 964
"Afu4g11570" 442 458 347 457 430 463 552 501 398 863 792 787
"Afu2g10300" 9715 8622 8146 4474 4410 5116 8083 9225 7674 1440 583 1177
"Afu8g04810" 1375 979 908 1555 1591 1629 1524 1166 1003 1827 712 1551
"Afu5g07360" 460 406 374 437 493 499 1040 535 496 24 10 34
"Afu2g12660" 0 0 0 0 0 0 0 0 0 1 5 0
"Afu4g10630" 165 180 134 311 276 289 274 219 154 126 63 133
"Afu6g12040" 57 34 41 11 17 16 175 28 29 20 21 33
"Afu4g02990" 698 552 545 980 947 1047 996 836 549 838 407 783
"Afu7g04811" 521 461 419 424 546 514 756 785 583 132 89 94
"Afu6g04770" 58 65 55 175 153 137 202 130 96 107 70 91
"Afu2g12710" 119 94 79 498 590 629 231 244 200 92 1024 204
"Afu2g02390" 86 88 60 109 98 131 227 98 73 69 19 43
"Afu7g05015" 24 21 13 39 22 25 34 38 27 443 819 522
"Afu1g09150" 1043 784 832 1256 1161 1343 1078 965 818 1160 549 1060
"Afu4g14560" 20 18 35 11 13 10 29 35 20 7 12 7
"Afu6g13990" 1032 922 730 17 13 26 707 274 458 8 9 4
"Afu3g12530" 3403 2399 2389 2491 3612 3096 4050 4005 3077 6674 6560 6158
"Afu2g16280" 426 385 329 221 191 259 376 432 325 139 100 114
"Afu4g07450" 6 10 8 2 9 3 9 1 2 8 6 5
"Afu3g09940" 721 622 552 787 850 894 1039 867 687 1346 945 1437
"Afu4g13940" 297 235 286 310 346 397 301 435 258 1048 734 1084
"Afu2g02690" 1444 1485 1564 3367 3551 4323 2307 2309 1782 2725 1212 3008
"Afu6g10500" 355 323 274 484 473 530 532 420 355 243 121 226
"Afu1g01740" 2481 2289 2073 1849 1754 1922 2661 2744 2235 1347 537 1130
"Afu8g04200" 294 254 201 224 211 201 373 252 214 164 67 145
"Afu3g10760" 1270 1185 1186 1763 1522 1970 689 762 547 6767 5882 7453
"Afu3g10080" 744 639 638 338 359 387 934 835 683 343 241 377
"Afu4g01510" 55 42 40 43 67 53 84 56 54 24 50 27
"Afu2g13590" 1588 1206 1105 4270 4369 4814 2230 1703 1289 4385 758 4351
"Afu3g13755" 1007 938 874 290 295 318 616 383 447 235 411 360
"Afu3g01960" 50 54 63 298 258 334 30 88 38 108 108 118
"Afu6g10990" 4825 4170 4046 6639 7507 8251 6381 6360 4768 9099 5808 9283
"Afu1g04660" 13139 11821 10858 6137 6208 6780 11576 13134 10844 1975 1085 1511
"Afu1g06290" 675 635 564 721 756 953 874 751 652 505 406 499
"Afu1g16420" 9 9 9 28 38 32 24 16 11 4 5 8
"Afu6g08710" 45 40 51 54 54 68 60 97 60 31 22 33
"Afu1g04490" 1064 857 828 1692 1660 1597 1731 1134 962 4068 1788 3866
"Afu3g05760" 7693 9495 9099 4441 5514 6737 8040 10547 7401 4820 7142 5144
"Afu8g06220" 223 194 214 227 243 237 315 244 186 302 269 331
"Afu3g00570" 15 19 11 56 52 39 39 41 29 141 342 157
"Afu1g17580" 7 5 6 15 18 4 3 3 5 3 7 2
"Afu1g04600" 681 765 654 466 516 655 876 622 606 219 116 186
"Afu2g16620" 193 145 118 354 245 296 369 264 186 300 274 254
"Afu2g02870" 293 244 260 105 104 163 321 278 231 28 57 39
"Afu3g08980" 1842 1471 1367 2854 2675 2826 2069 1991 1581 3070 2005 2732
"Afu5g07290" 506 457 411 1085 1067 1042 643 590 424 2936 2067 2801
"Afu4g03290" 53 53 49 111 83 110 110 115 68 76 62 70
"Afu2g16290" 986 895 846 691 642 817 1032 1100 900 317 249 275
"Afu4g01470" 13 17 32 12 9 8 87 142 96 20 12 11
"Afu4g01490" 1 8 3 4 1 2 10 4 6 0 4 2
"Afu2g13400" 1729 1380 1177 1348 1517 1514 2031 1918 1481 5175 5340 5145
"Afu2tM(CAU)2" 0 0 1 0 1 0 0 0 0 0 0 0
"Afu2tS(AGA)4" 0 1 0 1 2 1 0 0 0 1 1 5
"Afu4g12900" 373 326 259 338 272 300 421 303 274 168 65 137
"Afu3g15160" 89 84 99 90 109 114 131 100 88 18 20 17
"Afu3g01340" 1218 975 941 1027 952 1084 1318 1139 992 389 79 344
"Afu8g06810" 452 330 469 953 964 1214 458 700 442 105 144 91
"Afu4g10880" 179 186 174 122 234 238 462 236 294 38 21 36
"Afu3g11710" 3557 2892 2860 6300 6036 7102 3972 4724 3965 4673 2416 3944
"Afu5g06430" 1575 1384 1353 1206 1348 1503 1383 1617 1200 804 570 868
"Afu2g15200" 1303 851 1158 7141 8307 8183 1312 862 728 1433 4938 1406
"Afu3g12070" 50 70 62 122 123 132 93 56 58 67 20 69
"Afu3g03640" 3465 1266 1418 62931 70868 69239 919 1119 747 52511 24625 48226
"Afu6g02070" 1988 1811 1763 1953 2528 2711 2292 2141 1687 1203 995 1239
"Afu2g15810" 239 213 162 216 251 212 356 313 243 1170 1268 1118
"Afu2g09410" 74 80 63 132 145 152 175 104 81 5 8 4
"Afu4g00130" 0 0 0 1 0 1 0 0 0 0 1 1
"Afu2g08040" 1211 1078 983 777 1196 1167 1573 1172 1080 345 156 302
"Afu4g11200" 6 3 7 6 11 20 13 11 8 8 2 5
"Afu3g01070" 582 311 333 57 70 74 111 202 130 10 4 9
"Afu7g08520" 4813 3237 2951 2649 2657 2784 4719 4135 3540 5693 5000 5780
"Afu1g09770" 3611 3600 3373 2710 3458 4033 3790 4034 3455 1032 617 951
"Afu4g11700" 3605 1944 1953 695 1026 813 1808 1668 1377 1557 3963 1590
"Afu4g06480" 773 743 614 640 824 820 793 836 632 173 47 125
"Afu8g00610" 37 39 33 179 248 156 23 21 15 11 31 14
"Afu4g09840" 405 483 434 293 299 371 589 385 371 112 37 89
"Afu1g01930" 43 33 36 140 106 106 99 57 52 39 16 15
"Afu2g07790" 1075 777 898 1913 2074 2275 810 960 705 639 579 549
"Afu1g17050" 63 66 49 86 69 72 91 49 46 71 76 77
"Afu8g05190" 293 277 260 345 302 324 365 297 228 356 176 349
"Afu4g00450" 0 0 0 1 0 2 0 0 0 1 1 1
"Afu5g07100" 2703 1880 2224 1733 2287 2407 2281 1977 1615 1769 4699 1810
"Afu3g01260" 123 87 81 176 152 150 171 241 175 239 209 246
"Afu2g08800" 933 601 591 180 231 171 1085 1404 943 38 12 33
"Afu1g01270" 9 9 11 11 14 14 24 18 11 27 39 19
"Afu3g14165" 4 4 0 4 4 4 2 2 1 5 2 3
"Afu2g17040" 176 161 159 300 373 326 302 225 189 264 109 207
"Afu1g14660" 730 652 556 1200 1454 1582 911 930 696 812 542 813
"Afu4g07460" 1255 989 863 1113 1105 1231 1327 1249 1000 501 156 390
"Afu2g04610" 369 270 302 414 402 442 423 321 300 942 497 1084
"Afu7g02470" 1855 1753 1697 1360 1340 1548 1603 1744 1476 550 378 544
"Afu1g13990" 7480 6030 5962 6306 7546 7251 8526 6548 5770 1578 749 1224
"Afu1tP(AGG)1" 142 107 115 135 96 109 288 115 122 189 182 158
"Afu1g02150" 1664 1416 1301 1863 1845 2167 2247 2057 1568 1518 1835 1562
